Title,Date,Level,Tags
Tax Relief for American Families and Workers Act of 2024,2024-01-28,3,usa|tax|workingclass
Social and Economic Security Act of 2023,2023-05-13,2,usa|socialsecurity|pension|retirement
Health Crisis Response and Preparedness Act of 2023,2023-02-02,2,virus|pandemic|usa|health
National Obesity Prevention and Treatment Act of 2021,2021-06-30,1,health|usa|obesity
Online Safety and Cyberbullying Prevention Act,2024-02-01,0,minors|safety|cyberbullying
Energy Independence and Climate Resilience Act,2023-12-20,3,environment|green|energy|climatechange
California Cannabis Legalization and Regulation Act,2022-10-02,3,drugs|marijuana|california|westcoast
Pennsylvania Tax Reform and Economic Growth Act,2021-07-02,2,pennsylvania|eastcoast|tax
Sustainable University Practices and Environmental Initiative,2023-05-03,3,university|college|compost|green|environment
National Infrastructure Modernization and Development Act,2022-08-15,2,infrastructure|investment|usa
Affordable Housing and Community Development Initiative,2023-11-12,1,housing|affordable|community
Renewable Energy Innovation and Green Technology Act,2022-04-05,3,energy|renewable|green|environment
Smart Cities and Urban Technology Development Program,2023-09-18,2,smartcities|technology|urbanization
Equal Pay and Gender Equality Act,2021-03-08,1,equality|work|gender
Clean Water and Air Quality Improvement and Conservation Act,2022-06-25,3,environment|cleanwater|cleanair
National Cybersecurity and Technology Enhancement Initiative,2024-01-15,2,cybersecurity|technology|nationalsecurity
Digital Education Access and Technology Inclusion Act,2023-07-10,1,education|technology|accessibility
Mental Health Awareness and Support Initiative,2022-02-14,2,mentalhealth|awareness|support
Small Business Growth and Innovation Program,2023-04-30,1,smallbusiness|growth|innovation
Clean Transportation and Sustainable Infrastructure Act,2021-12-08,3,transportation|clean|infrastructure
Elderly Care and Community Inclusion Initiative,2022-11-20,2,elderlycare|socialinclusion|community
AI Ethics and Responsible Technology Standards Act,2023-10-09,3,artificialintelligence|ethics|technology
Public Health Emergency and Disaster Preparedness Act,2021-09-03,2,publichealth|emergency|preparedness
Climate Resilience and Adaptation Program,2022-07-18,3,climatechange|resilience|adaptation
National Park Conservation and Environmental Enhancement Act,2024-02-20,2,nationalpark|conservation|environment
Universal Healthcare Access and Wellness Initiative,2023-06-12,1,healthcare|universalaccess|wellness
Agricultural Sustainability and Innovation Program,2022-05-01,3,agriculture|sustainability|innovation
Autonomous Vehicles Regulation and Safety Act,2021-08-22,2,autonomousvehicles|regulation|safety
Space Exploration and Scientific Research Funding Act,2023-03-17,3,spaceexploration|research|science
Digital Privacy and Data Protection Initiative,2022-09-28,2,digitalprivacy|dataprotection|privacy
Youth Empowerment and Leadership Development Act,2023-01-05,1,youth|empowerment|leadership
Ocean Conservation and Environmental Protection Act,2021-10-11,3,oceanconservation|protection|environment
Criminal Justice Reform and Equity Initiative,2022-12-05,2,criminaljustice|reform|equity
Rural Broadband Expansion and Connectivity Program,2023-08-14,1,rural|broadband|expansion
Clean Energy Innovation and Research Initiative,2021-04-19,3,cleanenergy|innovation|research
Community Policing and Police Accountability Act,2022-01-30,2,communitypolicing|policeaccountability
Artificial Intelligence in Education and Integration Act,2023-11-28,1,artificialintelligence|education|integration
Worker's Rights Protection and Advocacy Initiative,2022-07-07,2,workersrights|protection|advocacy
Green Building and Sustainable Architecture Program,2023-05-20,3,greenbuilding|sustainablearchitecture
Mental Wellness and Suicide Prevention Program,2021-02-12,1,mentalwellness|suicideprevention|health
Veterans Support and Healthcare Access Initiative,2022-10-25,2,veterans|support|healthcare
Smart Grid Infrastructure Modernization and Development Act,2023-09-08,3,smartgrid|infrastructure|modernization
Humanitarian Aid and Refugee Support Program,2021-06-05,2,humanitarianaid|refugeesupport|global
Space Debris Cleanup and Environmental Protection Initiative,2022-04-02,3,spacedebris|cleanup|environmentalprotection

